,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
0,2,inform_Sam,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda inform Sam that a particular thing happened?,11,F,Donna,Shirley,C,0.0,15699,1
1,3,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Mark,NA,control,0.0,11393,1
2,4,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Elizabeth,NA,control,0.93,13881,1
3,5,confirm,13,that thing happened,F,Jackson is training for a marathon,factH,Did Laura confirm that a particular thing happened?,13,F,Nancy,Janet,C,0.0,6903,1
4,6,be_right_that,20,that thing happened,F,Charley lives in Mexico,factH,Is Anna right that a particular thing happened?,20,F,Carol,Nicole,C,0.0,4640,1
5,7,prove,3,that thing happened,F,Emma is in law school,factH,Did Justin prove that a particular thing happened?,3,M,Lisa,Brandon,C,0.0,5977,1
6,8,admit,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott admit that a particular thing happened?,2,M,Jennifer,Nicholas,C,0.49,7887,1
7,9,announce,14,that thing happened,F,Jayden's car is in the shop,factH,Did Stephanie announce that a particular thing happened?,14,F,Betty,Joyce,C,0.47,6789,1
8,10,discover,1,that thing happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick discover that a particular thing happened?,1,M,Karen,Ryan,NonProj,0.49,5724,1
9,11,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Thomas,NA,control,0.94,6669,1
10,12,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Linda,NA,control,0.9,4770,1
11,13,say,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia say that a particular thing happened?,17,F,Sarah,Stephanie,C,0.0,5584,1
12,14,demonstrate,9,that thing happened,M,Grace hates her sister,factL,Did Andrew demonstrate that a particular thing happened?,9,M,Robert,Tyler,C,0.0,4832,1
13,15,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Jennifer,NA,control,0.93,7652,1
14,16,suggest,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth suggest that a particular thing happened?,19,F,Dorothy,Amy,C,0.0,4927,1
15,17,pretend,10,that thing happened,F,Zoe is 5 years old,factL,Did Tim pretend that a particular thing happened?,10,M,Linda,Jeffrey,NonProj,0.0,3313,1
16,18,control,control2,that thing happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Christopher,NA,control,0.97,7902,1
17,19,annoyed,7,that thing happened,M,Isabella is a vegetarian,factL,Is Kevin annoyed that a particular thing happened?,7,M,James,Benjamin,NonProj,0.5,4987,1
18,20,hear,5,that thing happened,M,Sophia is a high end fashion model,factL,Did Ben hear that a particular thing happened?,5,M,Christopher,Larry,C,0.01,4914,1
