,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
0,2,prove,11,X happened,M,Danny loves cake,factH,Did Amanda prove that X happened?,11,F,William,Nicole,C,0.58,2892,1
1,3,annoyed,7,X happened,F,Isabella is a vegetarian,factL,Is Kevin annoyed that X happened?,7,M,Margaret,Jeffrey,NonProj,0.47,1876,1
2,4,discover,14,X happened,F,Jayden's car is in the shop,factH,Did Stephanie discover that X happened?,14,F,Karen,Amanda,NonProj,0.67,1854,1
3,5,acknowledge,3,X happened,M,Emma is in law school,factH,Did Justin acknowledge that X happened?,3,M,Mark,Gary,C,0.72,2423,1
4,6,pretend,9,X happened,M,Grace loves her sister,factH,Did Andrew pretend that X happened?,9,M,Christopher,Justin,NonProj,0.67,9479,1
5,7,control,control2,X happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,David,NA,control,0.66,3111,1
6,8,know,5,X happened,F,Sophia is a high end fashion model,factL,Does Ben know that X happened?,5,M,Michelle,Ryan,NonProj,0.68,2121,1
7,9,control,control3,X happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,Paul,NA,control,0.67,2559,1
8,10,hear,6,X happened,M,Mia is a nun,factL,Did Ray hear that X happened?,6,M,Matthew,Andrew,C,0.76,2064,1
9,11,suggest,10,X happened,F,Zoe is 5 years old,factL,Did Tim suggest that X happened?,10,M,Donna,Brandon,C,0.7,2000,1
10,12,announce,16,X happened,M,Josh is a 5-year old boy,factH,Did Sharon announce that X happened?,16,F,Richard,Sharon,C,0.78,1919,1
11,13,confirm,18,X happened,F,Julian is Cuban,factH,Did Kathleen confirm that X happened?,18,F,Dorothy,Carolyn,C,0.69,1790,1
12,14,control,control4,X happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Donna,NA,control,0.77,1844,1
13,15,think,12,X happened,F,Frank is allergic to cats,factL,Does Melissa think that X happened?,12,F,Linda,Amy,NonProj,0.77,2173,1
14,16,establish,15,X happened,F,Tony really likes to party with his friends,factH,Did Rebecca establish that X happened?,15,F,Sandra,Ruth,NonProj,0.82,2415,1
15,17,inform_Sam,19,X happened,F,Jon lives 2 blocks away from work,factH,Did Ruth inform Sam that X happened?,19,F,Elizabeth,Cynthia,C,0.74,2383,1
16,18,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Linda,NA,control,0.76,1986,1
17,19,be_right_that,4,X happened,F,Olivia works the third shift,factH,Is Jerry right that X happened?,4,M,Jessica,Edward,C,0.7,2007,1
18,20,demonstrate,17,X happened,F,Owen lives in New Orleans,factL,Did Cynthia demonstrate that X happened?,17,F,Sarah,Diane,C,0.81,2721,1
19,21,admit,20,X happened,M,Charley lives in Korea,factL,Did Anna admit that X happened?,20,F,David,Melissa,C,0.76,2784,1
20,22,say,1,X happened,F,Mary is a middle school student,factL,Did Patrick say that X happened?,1,M,Susan,Alexander,C,0.69,1831,1
21,23,reveal,2,X happened,M,Josie doesn't have a passport,factL,Did Scott reveal that X happened?,2,M,Paul,Benjamin,NonProj,0.75,1799,1
22,24,see,13,X happened,F,Jackson is obese,factL,Did Laura see that X happened?,13,F,Betty,Shirley,NonProj,0.8,1940,1
23,25,control,control1,X happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,Matthew,NA,control,0.67,4542,1
24,26,confess,8,X happened,M,Emily has been saving for a year,factH,Did Brian confess that X happened?,8,M,Kenneth,Jacob,C,0.73,2287,1
25,27,control,control5,X happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Michelle,NA,control,0.72,2072,1
0,2,control,control1,X happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though X happened last night?",control1,NA,Jennifer,NA,control,0.62,2920,2
1,3,control,control5,X happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Linda,NA,control,0.72,1759,2
2,4,see,16,X happened,M,Josh is a 75-year old man,factL,Did Sharon see that X happened?,16,F,Christopher,Melissa,NonProj,0.56,2202,2
3,5,hear,8,X happened,M,Emily has been saving for a year,factH,Did Brian hear that X happened?,8,M,Richard,Justin,C,0.75,2411,2
4,6,establish,17,X happened,F,Owen lives in Chicago,factH,Did Cynthia establish that X happened?,17,F,Margaret,Sharon,NonProj,0.53,1717,2
5,7,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Kimberly,NA,control,0.86,1463,2
6,8,discover,15,X happened,F,Tony has been sober for 20 years,factL,Did Rebecca discover that X happened?,15,F,Kimberly,Rebecca,NonProj,0.68,1480,2
7,9,be_right_that,10,X happened,F,Zoe is 5 years old,factL,Is Tim right that X happened?,10,M,Linda,Gary,C,0.46,1294,2
8,10,confess,5,X happened,F,Sophia is a high end fashion model,factL,Did Ben confess that X happened?,5,M,Dorothy,Jerry,C,0.79,1267,2
